URl - https://en.wikipedia.org/wiki/Ohio,Numbers are ,Musk - 5 hits,Elon Mask - 0 hits,Total - 5 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Demographics,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#mw-head,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/White_South_African,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 1 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-47,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/University_of_Michigan,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-44,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Transport,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Springbok_(antelope),Numbers are ,Musk - 8 hits,Elon Mask - 0 hits,Total - 8 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-frsandrew_35-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#The_Sebokeng_Complex,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-6,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Elon_Musk,Numbers are ,Musk - 654 hits,Elon Mask - 0 hits,Total - 879 hits,Tesla - 215 hits,Gigafactory - 10 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-occamten-37,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-9,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Coat_of_arms,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-4,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-5,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
